page url,schema code
https://softicated.com/produit/tapis-design-sur-mesure-greys-and-white-softicated/,"{""@context"":""https://schema.org"",""@type"":""Product"",""name"":""Greys & White Custom-Made Designer Rug"",""image"":[""https://softicated.com/wp-content/uploads/2023/09/Tapis-Greys-White-1.jpg"",""https://softicated.com/wp-content/uploads/2023/09/Tapis-Greys-White-2.jpg"",""https://softicated.com/wp-content/uploads/2023/09/Tapis-Greys-White-3.jpg""],""description"":""The 'Greys & White' rug captures the essence of the universe with a white background and subtle grey gradations, symbolizing the eight planets of our solar system. Its geometric design and calming palette make it a timeless addition to minimalist, Scandinavian, or contemporary interiors."",""brand"":{""@type"":""Brand"",""name"":""Softicated""},""sku"":""GREYS-WHITE-RUG"",""offers"":{""@type"":""Offer"",""url"":""https://softicated.com/produit/tapis-design-sur-mesure-greys-and-white-softicated/"",""priceCurrency"":""CHF"",""price"":""3445"",""priceValidUntil"":""2025-12-31"",""itemCondition"":""https://schema.org/NewCondition"",""availability"":""https://schema.org/InStock"",""seller"":{""@type"":""Organization"",""name"":""Softicated""}},""material"":[""Wool"",""Botanical Silk""],""weight"":""Varies by size"",""dimensions"":[{""@type"":""QuantitativeValue"",""value"":2,""unitCode"":""MTR"",""name"":""Width""},{""@type"":""QuantitativeValue"",""value"":2,""unitCode"":""MTR"",""name"":""Length""}],""color"":""Grey, White"",""pattern"":""Geometric"",""additionalType"":""https://schema.org/CreativeWork"",""identifier"":""softicated-greys-white-rug""}"
https://softicated.com/produit/tapis-design-sur-mesure-ocean-softicated-2/,"{""@context"":""https://schema.org"",""@type"":""Product"",""name"":""Tapis Seaside - Softicated"",""image"":[""https://softicated.com/wp-content/uploads/2024/06/EF_Seaside_rug_01-1.webp"",""https://softicated.com/wp-content/uploads/2024/06/EF_Seaside_rug_01-1-800x578.webp""],""description"":""Le tapis “ Seaside ” incarne l’essence des rivages paisibles où le sable fin rencontre les douces vagues sous une lumière tamisée."",""brand"":{""@type"":""Brand"",""name"":""Softicated""},""sku"":"""",""offers"":{""@type"":""Offer"",""url"":""https://softicated.com/produit/tapis-design-sur-mesure-ocean-softicated-2/"",""priceCurrency"":""CHF"",""price"":""3099.00"",""priceValidUntil"":""2025-12-31"",""itemCondition"":""https://schema.org/NewCondition"",""availability"":""https://schema.org/InStock"",""seller"":{""@type"":""Organization"",""name"":""Softicated""}},""material"":[],""weight"":""Varies by size"",""dimensions"":[],""color"":"""",""pattern"":"""",""additionalType"":""https://schema.org/CreativeWork"",""identifier"":""tapis-design-sur-mesure-ocean-softicated-2""}"
https://softicated.com/produit/tapis-gravity-sur-mesure-softicated/,"{""@context"":""https://schema.org"",""@type"":""Product"",""name"":""Tapis Gravity - Softicated"",""image"":[""https://softicated.com/wp-content/uploads/2023/10/weightlessness_gravity_01.jpg"",""https://softicated.com/wp-content/uploads/2023/10/weightlessness_gravity_01-800x578.jpg""],""description"":""Le tapis Gravity de la collection Weightlessness marie avec élégance l’inspiration naturelle et une palette de tons clairs."",""brand"":{""@type"":""Brand"",""name"":""Softicated""},""sku"":"""",""offers"":{""@type"":""Offer"",""url"":""https://softicated.com/produit/tapis-gravity-sur-mesure-softicated/"",""priceCurrency"":""CHF"",""price"":""4960.00"",""priceValidUntil"":""2025-12-31"",""itemCondition"":""https://schema.org/NewCondition"",""availability"":""https://schema.org/InStock"",""seller"":{""@type"":""Organization"",""name"":""Softicated""}},""material"":[],""weight"":""Varies by size"",""dimensions"":[],""color"":"""",""pattern"":"""",""additionalType"":""https://schema.org/CreativeWork"",""identifier"":""tapis-gravity-sur-mesure-softicated""}"
https://softicated.com/produit/tapis-design-sur-mesure-milky-way-softicated/,"{""@context"":""https://schema.org"",""@type"":""Product"",""name"":""Tapis Milky Way - Softicated"",""image"":[""https://softicated.com/wp-content/uploads/2023/10/Planet_milky_way_01-e1696348257881.webp"",""https://softicated.com/wp-content/uploads/2023/10/Planet_milky_way_01-e1696348257881-800x578.webp""],""description"":""Le tapis “ Milky Way ” allie poésie cosmique et élégance naturelle dans une composition aussi esthétique que symbolique, Inspiré du système solaire."",""brand"":{""@type"":""Brand"",""name"":""Softicated""},""sku"":"""",""offers"":{""@type"":""Offer"",""url"":""https://softicated.com/produit/tapis-design-sur-mesure-milky-way-softicated/"",""priceCurrency"":""CHF"",""price"":""3445.00"",""priceValidUntil"":""2025-12-31"",""itemCondition"":""https://schema.org/NewCondition"",""availability"":""https://schema.org/InStock"",""seller"":{""@type"":""Organization"",""name"":""Softicated""}},""material"":[],""weight"":""Varies by size"",""dimensions"":[],""color"":"""",""pattern"":"""",""additionalType"":""https://schema.org/CreativeWork"",""identifier"":""tapis-design-sur-mesure-milky-way-softicated""}"
https://softicated.com/produit/tapis-design-sur-mesure-natural-softicated/,"{""@context"":""https://schema.org"",""@type"":""Product"",""name"":""Tapis Natural - Softicated"",""image"":[""https://softicated.com/wp-content/uploads/2024/06/tinged-leaves-natural_01.webp"",""https://softicated.com/wp-content/uploads/2024/06/tinged-leaves-natural_01-800x578.webp""],""description"":""Le tapis \"" Natural \"" aux tons clairs est une véritable ode à la nature mêlant douceur, élégance et inspiration végétale dans une composition apaisante."",""brand"":{""@type"":""Brand"",""name"":""Softicated""},""sku"":"""",""offers"":{""@type"":""Offer"",""url"":""https://softicated.com/produit/tapis-design-sur-mesure-natural-softicated/"",""priceCurrency"":""CHF"",""price"":""4960.00"",""priceValidUntil"":""2025-12-31"",""itemCondition"":""https://schema.org/NewCondition"",""availability"":""https://schema.org/InStock"",""seller"":{""@type"":""Organization"",""name"":""Softicated""}},""material"":[],""weight"":""Varies by size"",""dimensions"":[],""color"":"""",""pattern"":"""",""additionalType"":""https://schema.org/CreativeWork"",""identifier"":""tapis-design-sur-mesure-natural-softicated""}"
https://softicated.com/produit/tapis-design-sur-mesure-scenery-softicated-2/,"{""@context"":""https://schema.org"",""@type"":""Product"",""name"":""Tapis Scenery - Softicated"",""image"":[""https://softicated.com/wp-content/uploads/2022/06/TINGEDLEAVES-Scenery_softicated.webp"",""https://softicated.com/wp-content/uploads/2022/06/TINGEDLEAVES-Scenery_softicated-800x578.webp""],""description"":""Le tapis \"" Scenery \"" unique fusionne l’élégance d’une palette sophistiquée et la richesse visuelle d’un motif inspiré de la nature luxuriante."",""brand"":{""@type"":""Brand"",""name"":""Softicated""},""sku"":"""",""offers"":{""@type"":""Offer"",""url"":""https://softicated.com/produit/tapis-design-sur-mesure-scenery-softicated-2/"",""priceCurrency"":""CHF"",""price"":""4960.00"",""priceValidUntil"":""2025-12-31"",""itemCondition"":""https://schema.org/NewCondition"",""availability"":""https://schema.org/InStock"",""seller"":{""@type"":""Organization"",""name"":""Softicated""}},""material"":[],""weight"":""Varies by size"",""dimensions"":[],""color"":"""",""pattern"":"""",""additionalType"":""https://schema.org/CreativeWork"",""identifier"":""tapis-design-sur-mesure-scenery-softicated-2""}"
https://softicated.com/produit/tapis-design-sur-mesure-beach-softicated/,"{""@context"":""https://schema.org"",""@type"":""Product"",""name"":""Tapis Beach - Softicated"",""image"":[""https://softicated.com/wp-content/uploads/2021/03/Tapis_Beach_softicated.webp"",""https://softicated.com/wp-content/uploads/2021/03/Tapis_Beach_softicated-800x800.webp""],""description"":""Le tapis “ Beach ” inspiré par les paysages côtiers capture l’essence des rivages où le sable clair rencontre les eaux azurées."",""brand"":{""@type"":""Brand"",""name"":""Softicated""},""sku"":"""",""offers"":{""@type"":""Offer"",""url"":""https://softicated.com/produit/tapis-design-sur-mesure-beach-softicated/"",""priceCurrency"":""CHF"",""price"":""3099.00"",""priceValidUntil"":""2025-12-31"",""itemCondition"":""https://schema.org/NewCondition"",""availability"":""https://schema.org/InStock"",""seller"":{""@type"":""Organization"",""name"":""Softicated""}},""material"":[],""weight"":""Varies by size"",""dimensions"":[],""color"":"""",""pattern"":"""",""additionalType"":""https://schema.org/CreativeWork"",""identifier"":""tapis-design-sur-mesure-beach-softicated""}"
https://softicated.com/produit/tapis-rectangulaire-uni-beige/,"{""@context"":""https://schema.org"",""@type"":""Product"",""name"":""Tapis salon design Beige - Softicated"",""image"":[""https://softicated.com/wp-content/uploads/2021/03/20_rugs_soft_re-creation_beige_rectangular-plain_beige-4.webp"",""https://softicated.com/wp-content/uploads/2021/03/20_rugs_soft_re-creation_beige_rectangular-plain_beige-4-800x578.webp""],""description"":""La collection Soft Re-Creation Softicated est une collection de tapis unis beige ou bleu qui utilise uniquement le matériau ECONYL."",""brand"":{""@type"":""Brand"",""name"":""Softicated""},""sku"":"""",""offers"":{""@type"":""Offer"",""url"":""https://softicated.com/produit/tapis-rectangulaire-uni-beige/"",""priceCurrency"":""CHF"",""price"":""1722.00"",""priceValidUntil"":""2025-12-31"",""itemCondition"":""https://schema.org/NewCondition"",""availability"":""https://schema.org/InStock"",""seller"":{""@type"":""Organization"",""name"":""Softicated""}},""material"":[],""weight"":""Varies by size"",""dimensions"":[],""color"":"""",""pattern"":"""",""additionalType"":""https://schema.org/CreativeWork"",""identifier"":""tapis-rectangulaire-uni-beige""}"
https://softicated.com/produit/rectangular-yellow/,"{""@context"":""https://schema.org"",""@type"":""Product"",""name"":""Tapis Yellow - Softicated"",""image"":[""https://softicated.com/wp-content/uploads/2021/03/16_rugs_weightlessness_rectangular_yellow_label-1-1.webp"",""https://softicated.com/wp-content/uploads/2021/03/16_rugs_weightlessness_rectangular_yellow_label-1-1-800x578.webp""],""description"":""L’inspiration de cette collection vient de la nature. Nous y retrouvons l’œuf mais aussi les alvéoles des ruches créées par les abeilles."",""brand"":{""@type"":""Brand"",""name"":""Softicated""},""sku"":"""",""offers"":{""@type"":""Offer"",""url"":""https://softicated.com/produit/rectangular-yellow/"",""priceCurrency"":""CHF"",""price"":""4960.00"",""priceValidUntil"":""2025-12-31"",""itemCondition"":""https://schema.org/NewCondition"",""availability"":""https://schema.org/InStock"",""seller"":{""@type"":""Organization"",""name"":""Softicated""}},""material"":[],""weight"":""Varies by size"",""dimensions"":[],""color"":"""",""pattern"":"""",""additionalType"":""https://schema.org/CreativeWork"",""identifier"":""rectangular-yellow""}"
https://softicated.com/produit/econyl-materiau-tapis-rug-soft-re-creation/,"{""@context"":""https://schema.org"",""@type"":""Product"",""name"":""Tapis design Bleu- Softicated"",""image"":[""https://softicated.com/wp-content/uploads/2021/03/19_rugs_soft_re-creation_blue_rectangular_plain_blue-4.webp"",""https://softicated.com/wp-content/uploads/2021/03/19_rugs_soft_re-creation_blue_rectangular_plain_blue-4-800x578.webp""],""description"":""La collection de tapis unis Soft Re-Creation Sfoticated est réalisée en ECONYL un matériau en nylon régénéré fait de déchets."",""brand"":{""@type"":""Brand"",""name"":""Softicated""},""sku"":"""",""offers"":{""@type"":""Offer"",""url"":""https://softicated.com/produit/econyl-materiau-tapis-rug-soft-re-creation/"",""priceCurrency"":""CHF"",""price"":""1722.00"",""priceValidUntil"":""2025-12-31"",""itemCondition"":""https://schema.org/NewCondition"",""availability"":""https://schema.org/InStock"",""seller"":{""@type"":""Organization"",""name"":""Softicated""}},""material"":[],""weight"":""Varies by size"",""dimensions"":[],""color"":"""",""pattern"":"""",""additionalType"":""https://schema.org/CreativeWork"",""identifier"":""econyl-materiau-tapis-rug-soft-re-creation""}"
